city_index,city_country,city_name,city_lat,city_lon,population_2025_1000s,gauge_id,gauge_name,gauge_lat,gauge_lon,distance_km,rsl_low_2100,rsl_central_2100,rsl_high_2100,novlm_low_2100,novlm_central_2100,novlm_high_2100
778,India,Aurangabad,19.876619,75.34331,1767.334,43,MUMBAI,18.92,72.83,285,,,,,,
779,India,Baharampur,24.1,88.25,464.829,1002,TRIBENI,22.98,88.4,126,,,,,,
780,India,Bangalore,12.97194,77.59369,14395.443,205,CHENNAI,13.1,80.3,294,,,,,,
781,India,Barddhaman,23.24056,87.86944,458.031,1002,TRIBENI,22.98,88.4,62,1.6398823529411763,2.0105,3.4330294117647053,0.1721764705882353,0.5025000000000001,1.9246176470588234
782,India,Bareilly,28.35,79.41667,1413.251,420,BHAUNAGAR_I,21.8,72.3,1022,,,,,,
783,India,Bathinda,30.2,74.95,415.294,596,KANDLA,23.02,70.22,927,,,,,,
784,India,Begusarai,25.416667,86.133333,586.584,1002,TRIBENI,22.98,88.4,356,,,,,,
785,India,Belgaum,15.85212,74.50447,799.729,1249,MORMUGAO,15.42,73.8,90,0.13217647058823528,0.508,2.009617647058823,0.21373529411764702,0.5349999999999999,2.0355294117647054
786,India,Bellary,15.15,76.93333,585.914,1249,MORMUGAO,15.42,73.8,338,,,,,,
787,India,Bhagalpur,25.25,87.0,525.429,1002,TRIBENI,22.98,88.4,290,,,,,,
788,India,Bhavnagar,21.76667,72.15,766.887,420,BHAUNAGAR_I,21.8,72.3,16,0.2721764705882353,0.7110000000000001,2.185705882352941,0.11758823529411766,0.4415,1.892411764705882
789,India,Bhilwara,25.35,74.63333,507.328,420,BHAUNAGAR_I,21.8,72.3,461,,,,,,
790,India,Bhiwandi,19.3,73.06667,943.921,43,MUMBAI,18.92,72.83,49,0.13788235294117646,0.4625,1.9388235294117642,0.19558823529411762,0.5145,1.991941176470588
791,India,Bhopal,23.26667,77.4,2686.291,420,BHAUNAGAR_I,21.8,72.3,549,,,,,,
792,India,Bhubaneswar,20.23333,85.83333,1320.908,1161,PARADIP,20.27,86.7,91,0.10073529411764705,0.471,1.9302941176470583,0.18417647058823527,0.517,1.9747647058823525
793,India,Bihar Sharif,25.18333,85.51667,418.625,1002,TRIBENI,22.98,88.4,382,,,,,,
794,India,Bijapur,16.82442,75.71537,464.807,1249,MORMUGAO,15.42,73.8,258,,,,,,
795,India,Bikaner,28.01667,73.3,853.869,596,KANDLA,23.02,70.22,636,,,,,,
796,India,Bilaspur,22.078278,82.14574,682.488,414,VISAKHAPATNAM,17.68,83.28,504,,,,,,
797,India,Bokaro Steel City,23.664492,86.147831,687.933,1002,TRIBENI,22.98,88.4,242,,,,,,
798,India,Brahmapur,19.31667,84.78333,446.017,1161,PARADIP,20.27,86.7,227,,,,,,
799,India,Chandigarh,30.7343,76.7933,1266.014,596,KANDLA,23.02,70.22,1078,,,,,,
800,India,Chandrapur,19.95,79.3,379.67,414,VISAKHAPATNAM,17.68,83.28,490,,,,,,
801,India,Chennai (Madras),13.053091,80.24875,12336.047,205,CHENNAI,13.1,80.3,8,0.10973529411764704,0.45399999999999996,1.9682941176470585,0.20988235294117646,0.54,2.057794117647058
802,India,Cherthala,9.683497,76.336654,931.015,438,COCHIN,9.97,76.27,33,0.23188235294117646,0.5815,2.108617647058823,0.24088235294117644,0.5685,2.0973823529411764
803,India,Coimbatore,10.9925,76.96139,3158.723,438,COCHIN,9.97,76.27,137,,,,,,
804,India,Cuttack,20.46497,85.87927,804.914,1161,PARADIP,20.27,86.7,88,0.10073529411764705,0.471,1.9302941176470583,0.18417647058823527,0.517,1.9747647058823525
805,India,Darbhanga,26.16667,85.9,382.707,1002,TRIBENI,22.98,88.4,436,,,,,,
806,India,Davanagere,14.460849,75.919871,563.332,1423,MANGALORE,12.92,74.8,210,,,,,,
807,India,Dehradun,30.31667,78.03333,1041.058,420,BHAUNAGAR_I,21.8,72.3,1107,,,,,,
808,India,Delhi,28.66667,77.21667,34665.569,420,BHAUNAGAR_I,21.8,72.3,910,,,,,,
809,India,Deoghar,24.488619,86.699041,428.967,1002,TRIBENI,22.98,88.4,241,,,,,,
810,India,Dewas,22.96667,76.06667,396.079,420,BHAUNAGAR_I,21.8,72.3,409,,,,,,
811,India,Dhanbad,23.8,86.45,1441.8,1002,TRIBENI,22.98,88.4,219,,,,,,
812,India,Dhule,20.9,74.78333,441.297,420,BHAUNAGAR_I,21.8,72.3,276,,,,,,
813,India,Dhulian,24.670921,87.948193,476.915,1002,TRIBENI,22.98,88.4,194,,,,,,
814,India,Dindigul,10.36896,77.98036,438.664,1072,TUTICORIN,8.75,78.2,182,,,,,,
815,India,Durgapur,23.520444,87.311923,740.728,1002,TRIBENI,22.98,88.4,127,,,,,,
816,India,Durg-Bhilainagar,21.188706,81.280592,1315.333,414,VISAKHAPATNAM,17.68,83.28,443,,,,,,
817,India,English Bazar,25.0,88.15,489.722,1002,TRIBENI,22.98,88.4,226,,,,,,
818,India,Erode,11.3428,77.72741,705.586,438,COCHIN,9.97,76.27,221,,,,,,
819,India,Farrukhabad,27.39048,79.58006,379.548,420,BHAUNAGAR_I,21.8,72.3,964,,,,,,
