location,lat,lon,gauge_id,gauge_name,low-end,low,central,high,high-end
104,39.2,9.17,104,CAGLIARI,0.21,0.31,0.57,0.96,1.67
105,40.84,14.26,105,NAPOLI,0.2,0.3,0.55,0.94,1.63
106,42.05,11.82,106,CIVITAVECCHIA,0.19,0.3,0.55,0.94,1.63
107,38.13,13.33,107,PALERMO,0.21,0.31,0.57,0.97,1.67
108,43.87,8.02,108,PORTO_MAURIZIO,0.18,0.29,0.54,0.92,1.6
111,-32.06,115.74,111,FREMANTLE,0.22,0.32,0.56,0.94,1.74
112,30.67,-81.47,112,FERNANDINA_BEACH,0.29,0.38,0.63,1.04,1.83
113,55.33,11.14,113,KORSOR,0.17,0.31,0.61,1.05,1.69
118,55.7,21.13,118,KLAIPEDA,0.18,0.31,0.61,1.05,1.68
119,56.09,12.46,119,HORNBAEK,0.18,0.31,0.65,1.02,1.65
120,54.57,11.93,120,GEDSER,0.19,0.32,0.66,1.03,1.67
122,62.37,17.53,122,DRAGHALLAN,0.11,0.27,0.57,0.98,1.58
127,47.6,-122.34,127,SEATTLE,0.19,0.28,0.48,0.83,1.61
129,40.87,14.27,129,NAPOLI,0.2,0.3,0.55,0.94,1.63
130,35.16,139.62,130,ABURATSUBO,0.26,0.36,0.63,1.1,1.97
131,38.3,141.51,131,AYUKAWA,0.22,0.33,0.61,1.13,2.0
132,37.41,136.9,132,WAJIMA,0.28,0.37,0.61,1.07,1.93
133,32.43,131.67,133,HOSOJIMA,0.26,0.35,0.63,1.08,1.94
134,33.48,135.77,134,KUSHIMOTO,0.24,0.35,0.62,1.11,1.97
135,39.93,-75.14,135,PHILADELPHIA,0.27,0.38,0.66,1.09,1.83
138,48.52,-68.47,138,POINTE-AU-PERE,0.18,0.34,0.65,1.12,1.81
139,43.28,145.58,139,HANASAKI,0.24,0.33,0.56,1.06,1.92
140,58.95,11.18,140,STROMSTAD,0.15,0.29,0.56,0.99,1.6
142,60.1,23.55,142,SKURU,0.14,0.29,0.59,1.02,1.64
145,14.58,120.97,145,MANILA,0.2,0.32,0.6,1.01,1.87
146,54.6,18.8,146,HEL,0.18,0.31,0.61,1.05,1.69
148,39.27,-76.58,148,BALTIMORE,0.28,0.39,0.66,1.09,1.83
150,-36.84,174.77,150,AUCKLAND_II,0.23,0.32,0.58,1.02,1.79
154,45.65,13.76,154,TRIESTE,0.14,0.26,0.49,0.88,1.54
155,21.31,-157.87,155,HONOLULU,0.28,0.38,0.65,1.11,2.05
157,-34.6,-58.37,157,BUENOS_AIRES,0.21,0.29,0.52,0.89,1.62
158,32.71,-117.17,158,SAN_DIEGO,0.21,0.29,0.5,0.89,1.73
159,43.22,140.87,159,OSHORO_I,0.26,0.35,0.57,1.02,1.87
161,29.31,-94.79,161,GALVESTON_II,0.27,0.36,0.6,1.02,1.82
162,37.1,-8.67,162,LAGOS,0.24,0.34,0.59,0.98,1.71
163,8.97,-79.57,163,BALBOA,0.3,0.38,0.63,1.03,1.87
164,60.45,26.95,164,KOTKA,0.15,0.29,0.59,1.03,1.64
165,49.15,-125.92,165,TOFINO,0.17,0.26,0.46,0.8,1.6
166,48.42,-123.37,166,VICTORIA,0.18,0.27,0.47,0.81,1.6
167,54.32,-130.33,167,PRINCE_RUPERT,0.18,0.27,0.47,0.8,1.58
168,45.43,12.33,168,VENEZIA,0.15,0.26,0.5,0.88,1.55
169,9.35,-79.92,169,CRISTOBAL,0.3,0.39,0.64,1.06,1.89
172,61.59,21.46,172,MANTYLUOTO,0.13,0.28,0.58,1.0,1.61
174,11.8,99.82,174,KO_LAK,0.23,0.33,0.57,0.98,1.81
175,49.28,-123.12,175,VANCOUVER,0.15,0.24,0.43,0.77,1.55
176,50.5,-59.48,176,HARRINGTON_HBR,0.17,0.33,0.64,1.1,1.77
179,58.35,11.22,179,SMOGEN,0.16,0.3,0.57,1.0,1.62
180,39.35,-74.42,180,ATLANTIC_CITY,0.28,0.39,0.67,1.1,1.85
183,43.66,-70.25,183,PORTLAND ,0.23,0.36,0.67,1.14,1.87
188,24.55,-81.81,188,KEY_WEST,0.29,0.38,0.62,1.04,1.86
189,-20.32,118.57,189,PORT_HEDLAND,0.22,0.33,0.58,1.0,1.82
190,56.01,-2.52,190,DUNBAR,0.1,0.27,0.56,0.98,1.61
193,49.33,-123.25,193,POINT_ATKINSON,0.15,0.23,0.43,0.76,1.55
194,63.71,22.69,194,PIETARSAARI ,0.1,0.26,0.57,0.99,1.59
195,45.27,-66.07,195,SAINT_JOHN,0.2,0.35,0.66,1.13,1.85
196,-33.85,151.23,196,SYDNEY,0.25,0.34,0.59,1.03,1.8
202,50.1,-5.54,202,NEWLYN,0.17,0.29,0.55,0.96,1.63
203,64.92,21.23,203,FURUOGRUND,0.08,0.25,0.56,0.97,1.56
204,24.81,66.97,204,KARACHI,0.13,0.21,0.44,0.88,1.65
205,13.1,80.3,205,CHENNAI,0.21,0.31,0.54,0.98,1.8
208,38.34,-0.48,208,ALICANTE,0.23,0.32,0.56,0.96,1.66
209,36.53,-6.31,209,CADIZ_II,0.24,0.34,0.58,0.98,1.69
210,16.77,96.17,210,RANGOON,0.21,0.31,0.54,0.95,1.75
213,-46.6,168.35,213,BLUFF,0.23,0.32,0.56,0.98,1.68
214,51.96,1.35,214,FELIXSTOWE,0.14,0.28,0.58,1.01,1.66
215,44.1,39.07,215,TUAPSE,0.04,0.2,0.47,0.85,1.53
216,-33.18,138.01,216,PORT_PIRIE,0.23,0.32,0.53,0.88,1.64
217,-36.84,174.77,217,AUCKLAND-WAITEMATA_HARBOUR,0.23,0.32,0.58,1.02,1.79
219,54.6,-5.92,219,BELFAST_2,0.13,0.27,0.53,0.91,1.55
221,-41.28,174.78,221,WELLINGTON_HARBOUR,0.23,0.32,0.57,1.01,1.75
223,-38.58,-58.7,223,QUEQUEN,0.22,0.29,0.51,0.88,1.6
224,38.78,-75.12,224,LEWES,0.28,0.39,0.66,1.09,1.85
225,55.33,-131.62,225,KETCHIKAN,0.18,0.27,0.47,0.8,1.57
226,61.48,21.33,226,SAPPI,0.13,0.28,0.58,1.0,1.61
227,60.08,26.98,227,SUR_SARI,0.15,0.29,0.6,1.03,1.65
229,65.67,24.52,229,KEMI,0.07,0.24,0.54,0.97,1.56
230,-34.72,135.87,230,PORT_LINCOLN,0.24,0.32,0.54,0.89,1.66
231,60.2,19.3,231,HELIGMAN,0.14,0.29,0.58,1.01,1.63
234,32.78,-79.92,234,CHARLESTON_I,0.28,0.38,0.62,1.03,1.81
235,42.35,-71.05,235,BOSTON,0.23,0.36,0.68,1.13,1.87
236,53.36,5.22,236,WEST-TERSCHELLING,0.14,0.28,0.57,1.0,1.65
237,60.35,28.62,237,PRIMORSK,0.16,0.29,0.6,1.01,1.63
238,59.85,23.25,238,TVARMINNE,0.15,0.29,0.59,1.03,1.65
239,60.43,22.1,239,TURKU,0.14,0.28,0.59,1.02,1.63
240,64.67,24.41,240,RAAHE,0.09,0.26,0.56,0.98,1.58
245,33.72,-118.27,245,LOS_ANGELES,0.21,0.29,0.5,0.89,1.73
246,30.4,-87.21,246,PENSACOLA,0.26,0.36,0.6,1.02,1.81
247,-43.61,172.72,247,PORT_LYTTELTON,0.23,0.32,0.58,1.01,1.73
248,1.46,103.79,248,JOHOR_BAHRU,0.26,0.35,0.59,1.0,1.84
249,60.03,20.38,249,FOGLO,0.14,0.29,0.59,1.02,1.64
253,31.25,32.3,253,PORT_SAID,0.2,0.3,0.56,0.99,1.71
255,51.11,1.32,255,DOVER,0.15,0.29,0.58,1.0,1.65
256,32.87,-117.26,256,LA_JOLLA,0.21,0.29,0.5,0.89,1.73
258,37.74,-25.67,258,PONTA_DELGADA,0.22,0.32,0.59,1.01,1.77
259,-43.61,172.72,259,LYTTELTON_II,0.23,0.32,0.58,1.01,1.73
260,6.07,121.0,260,JOLO,0.21,0.33,0.6,1.02,1.89
265,46.21,-123.77,265,ASTORIA,0.21,0.29,0.5,0.85,1.66
266,60.12,-149.43,266,SEWARD,-0.09,0.04,0.26,0.51,1.29
267,-32.92,151.8,267,NEWCASTLE_III,0.25,0.34,0.59,1.04,1.81
269,22.2,113.55,269,MACAU,0.24,0.33,0.59,0.98,1.8
270,29.23,-81.0,270,DAYTONA_BEACH,0.29,0.38,0.63,1.04,1.84
271,54.93,10.07,271,MOMMARK,0.17,0.31,0.59,1.02,1.65
284,-29.87,31.05,284,DURBAN,0.27,0.36,0.6,1.0,1.83
285,62.34,21.21,285,KASKINEN,0.12,0.28,0.58,0.99,1.6
286,53.63,-0.19,286,IMMINGHAM,0.13,0.28,0.58,1.01,1.65
288,43.08,-70.74,288,SEAVEY_ISLAND,0.23,0.36,0.67,1.14,1.87
289,54.95,20.22,289,PIONERSKY,0.18,0.31,0.61,1.05,1.69
299,36.95,-76.33,299,SEWELLS_POINT,0.28,0.39,0.65,1.07,1.83
300,19.73,-155.06,300,HILO,0.28,0.38,0.65,1.1,2.04
302,58.01,7.55,302,TREGDE,0.13,0.28,0.58,1.01,1.63
303,28.48,-16.24,303,SANTA_CRUZ_DE_TENERIFE_I,0.28,0.38,0.65,1.11,1.88
310,-29.43,153.36,310,YAMBA,0.26,0.34,0.58,1.01,1.8
311,38.98,-76.48,311,ANNAPOLIS,0.28,0.38,0.66,1.09,1.83
312,68.43,17.43,312,NARVIK,0.02,0.23,0.52,0.92,1.48
313,63.43,9.1,313,HEIMSJO,0.03,0.21,0.5,0.9,1.49
314,58.21,-6.39,314,STORNOWAY,0.07,0.25,0.52,0.9,1.52
315,60.56,27.18,315,HAMINA,0.15,0.29,0.59,1.03,1.64
316,30.39,-81.43,316,MAYPORT,0.29,0.38,0.63,1.04,1.84
317,42.48,27.48,317,BOURGAS,0.06,0.2,0.47,0.93,1.61
318,43.18,27.92,318,VARNA,0.03,0.19,0.45,0.92,1.6
320,-32.92,151.8,320,NEWCASTLE_I,0.25,0.34,0.59,1.04,1.81
330,55.52,12.89,330,KLAGSHAMN,0.19,0.31,0.6,1.02,1.66
331,4.88,-1.75,331,TAKORADI,0.29,0.37,0.61,1.02,1.82
332,44.9,-66.98,332,EASTPORT,0.21,0.35,0.66,1.13,1.85
333,22.3,114.2,333,NORTH_POINT,0.24,0.33,0.59,0.99,1.81
334,51.51,0.72,334,SOUTHEND,0.15,0.29,0.58,1.0,1.65
335,51.47,0.37,335,TILBURY,0.15,0.29,0.57,0.99,1.64
336,51.5,0.08,336,TOWER_PIER,0.15,0.29,0.57,0.99,1.64
350,50.8,-1.11,350,PORTSMOUTH,0.14,0.28,0.56,0.98,1.63
351,41.51,-71.33,351,NEWPORT,0.24,0.37,0.68,1.14,1.88
